sentence,entities
"Mark Rutte has been the Prime Minister of the Netherlands since 2010","Person: Mark Rutte; Location: Netherlands; Date: 2010"
"The Rijksmuseum is located in Amsterdam","Organization: Rijksmuseum; Location: Amsterdam"
"Van Gogh painted Starry Night in 1889","Person: Van Gogh; Date: 1889"
"Shell is a multinational company headquartered in The Hague","Organization: Shell; Location: The Hague"
"Amsterdam hosts the annual King’s Day celebrations","Location: Amsterdam"
"Johan Cruyff was one of the greatest Dutch footballers","Person: Johan Cruyff"
"The European Union was founded in 1993","Organization: European Union; Date: 1993"
"Heineken beer was first brewed in 1864","Organization: Heineken; Date: 1864"
"Frans Hals was a painter from Haarlem","Person: Frans Hals; Location: Haarlem"
"The Port of Rotterdam is the largest in Europe","Location: Port of Rotterdam"
"Anne Frank was born in Frankfurt","Person: Anne Frank; Location: Frankfurt"
"The Netherlands won the UEFA Euro 1988 championship","Location: Netherlands; Date: 1988"
"Erasmus University is located in Rotterdam","Organization: Erasmus University; Location: Rotterdam"
"The Hague hosts the International Court of Justice","Location: The Hague; Organization: International Court of Justice"
"Delft is famous for its blue and white pottery","Location: Delft"
"Queen Maxima was born in Argentina","Person: Queen Maxima; Location: Argentina"
"The Dutch East India Company was established in 1602","Organization: Dutch East India Company; Date: 1602"
"Vincent van Gogh Museum is in Amsterdam","Organization: Vincent van Gogh Museum; Location: Amsterdam"
"The North Sea borders the western coast of the Netherlands","Location: North Sea; Location: Netherlands"
"Rembrandt was born in Leiden in 1606","Person: Rembrandt; Location: Leiden; Date: 1606"
"KLM Royal Dutch Airlines is based in Amstelveen","Organization: KLM Royal Dutch Airlines; Location: Amstelveen"
"Maastricht hosts the European Fine Art Fair","Location: Maastricht; Organization: European Fine Art Fair"
"The Dutch Parliament, called Staten-Generaal, is in The Hague","Organization: Dutch Parliament; Location: The Hague"
"The tulip mania occurred in the Netherlands during the 17th century","Location: Netherlands; Date: 17th century"
"Amsterdam Schiphol Airport is one of Europe’s busiest airports","Location: Amsterdam Schiphol Airport"